#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:03:120,Pose79,*,0.88,*,*,0.2,0.2,0.0858,0.0858,-0.5,0.5,-1.2,1.2,0.3,-0.3,0.5,-0.5,1.8876,1.8876,0.04,-0.04,-1.3068,-1.3068,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:160,Pose80,*,0.84,*,*,0.24,0.24,0.1716,0.1716,-0.6,0.6,-1.3,1.3,0.4,-0.4,0.5,-0.5,*,*,0.02,-0.02,-1.1616,-1.1616,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:200,Pose81,*,0.8,*,*,0.28,0.28,0.2574,0.2574,-0.7,0.7,-1.4,1.4,0.5,-0.5,0.45,-0.45,*,*,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:240,Pose82,*,0.76,*,*,0.32,0.32,0.3432,0.3432,-0.8,0.8,-1.5,1.5,0.6,-0.6,0.4,-0.4,*,*,*,*,-1.3068,-1.3068,-0.46,-0.46,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:280,Pose83,*,0.72,*,*,0.36,0.36,0.429,0.429,-0.9,0.9,-1.6,1.6,0.7,-0.7,0.35,-0.35,*,*,*,*,-1.35,-1.35,-0.475,-0.475,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:320,Pose84,*,0.68,*,*,0.4,0.4,0.5148,0.5148,-1,1,-1.7,1.7,0.8,-0.8,0.3,-0.3,*,*,*,*,-1.3932,-1.3932,-0.49,-0.49,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:360,Pose85,*,0.64,*,*,0.44,0.44,0.6006,0.6006,-1.1,1.1,-1.8,1.8,0.9,-0.9,0.25,-0.25,*,*,*,*,-1.4364,-1.4364,-0.505,-0.505,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:400,Pose86,*,0.6,*,*,0.48,0.48,0.6864,0.6864,-1.2,1.2,-1.9,1.9,1,-1,0.2,-0.2,*,*,*,*,-1.4796,-1.4796,-0.52,-0.52,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:440,Pose87,*,0.56,*,*,*,*,0.7722,0.7722,-1.2,1.2,-2,2,1.1,-1.1,0.15,-0.15,*,*,0,0,-1.5228,-1.5228,-0.535,-0.535,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:480,Pose88,*,0.52,*,*,*,*,0.858,0.858,-1.2,1.2,*,*,1.2,-1.2,0.1,-0.1,*,*,0.05,-0.05,-1.566,-1.566,-0.55,-0.55,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:520,Pose89,*,0.48,*,*,*,*,0.9438,0.9438,-1.2,1.2,*,*,*,*,0.05,-0.05,*,*,0.1,-0.1,-1.6092,-1.6092,-0.565,-0.565,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:560,Pose90,*,0.44,*,*,*,*,1.0296,1.0296,-1.2,1.2,*,*,*,*,0,0,*,*,0.15,-0.15,-1.6524,-1.6524,-0.58,-0.58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:600,Pose91,*,0.4,*,*,*,*,1.1154,1.1154,-1.2,1.2,*,*,*,*,*,*,*,*,0.2,-0.2,-1.6956,-1.6956,-0.595,-0.595,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:640,Pose92,*,0.36,*,*,*,*,1.2012,1.2012,-1.12,1.12,*,*,*,*,*,*,*,*,0.25,-0.25,-1.7388,-1.7388,-0.61,-0.61,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:680,Pose93,*,0.32,*,*,*,*,1.287,1.287,-0.98,0.98,*,*,*,*,*,*,*,*,0.3,-0.3,-1.76,-1.76,-0.625,-0.625,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:720,Pose94,*,0.28,-0.08,0.08,0.48,0.48,1.3728,1.3728,-0.84,0.84,*,*,*,*,*,*,1.8876,1.8876,0.35,-0.35,*,*,-0.64,-0.64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:760,Pose95,*,0.24,-0.1,0.1,0.52,0.52,1.4586,1.4586,*,*,*,*,*,*,*,*,2.0592,2.0592,0.4,-0.4,*,*,-0.655,-0.655,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:800,Pose96,*,0.2,-0.12,0.12,0.56,0.56,*,*,*,*,*,*,*,*,*,*,2.085,2.085,0.45,-0.45,*,*,-0.67,-0.67,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:840,Pose97,*,0.16,-0.14,0.14,0.6,0.6,*,*,-0.7,0.7,*,*,*,*,*,*,*,*,0.5,-0.5,*,*,-0.685,-0.685,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:880,Pose98,*,0.12,-0.16,0.16,0.64,0.64,*,*,-0.6,0.6,*,*,*,*,*,*,*,*,0.55,-0.55,*,*,-0.7,-0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:920,Pose99,*,0.08,-0.18,0.18,0.68,0.68,*,*,-0.5,0.5,*,*,*,*,*,*,*,*,0.6,-0.6,*,*,-0.715,-0.715,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:960,Pose100,*,0.04,-0.2,0.2,0.72,0.72,*,*,-0.4,0.4,*,*,1.1,-1.1,0,0,*,*,0.65,-0.65,*,*,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:000,Pose101,*,0,-0.22,0.22,0.76,0.76,*,*,-0.3,0.3,*,*,1,-1,0.05,-0.05,*,*,0.7,-0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:040,Pose102,*,*,-0.24,0.24,0.8,0.8,*,*,-0.4,0.4,*,*,0.9,-0.9,0.1,-0.1,*,*,0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:080,Pose103,0.3,*,-0.26,0.26,*,*,*,*,-0.5,0.5,*,*,0.8,-0.8,0.15,-0.15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:120,Pose104,0.275,*,-0.28,0.28,*,*,*,*,-0.6,0.6,*,*,0.7,-0.7,0.2,-0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:160,Pose105,0.25,*,-0.3,0.3,*,*,*,*,-0.7,0.7,*,*,0.6,-0.6,0.25,-0.25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:200,Pose106,0.225,*,-0.32,0.32,*,*,*,*,-0.8,0.8,*,*,0.5,-0.5,0.3,-0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:240,Pose107,0.2,*,-0.34,0.34,*,*,*,*,*,*,*,*,0.4,-0.4,0.35,-0.35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:280,Pose108,0.175,*,-0.36,0.36,*,*,*,*,*,*,*,*,0.3,-0.3,0.4,-0.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:320,Pose109,0.15,*,-0.38,0.38,*,*,*,*,*,*,*,*,0.2,-0.2,0.45,-0.45,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
