#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,-0.175,0,-0.39,0.39,0.8,0.8,1.4586,1.4586,-1.53,1.53,-1.35,1.35,0.2,-0.2,0.5,-0.5,1.3728,1.3728,0.73,-0.73,-1.76,-1.76,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:920,Pose99,-0.155,0.025,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:960,Pose100,-0.156,0.024,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:000,Pose101,-0.157,0.023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:040,Pose102,-0.158,0.022,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:080,Pose103,-0.159,0.021,-0.37,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:120,Pose104,-0.16,0.02,-0.371,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:160,Pose105,-0.161,0.019,-0.372,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:200,Pose106,-0.162,0.018,-0.373,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:240,Pose107,-0.163,0.017,-0.374,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:280,Pose108,-0.164,0.016,-0.375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
