#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,0.3,0,-0.39,0.39,0.8,0.8,1.4586,1.4586,-1.53,1.53,-1.35,1.35,0.2,-0.2,0.5,-0.5,1.3728,1.3728,0.73,-0.73,-1.76,-1.76,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:880,Pose73,*,0.009,*,*,*,*,*,*,*,*,*,*,*,*,0.103,-0.096,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:920,Pose74,*,0.008,*,*,*,*,*,*,*,*,*,*,*,*,0.102,-0.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:960,Pose75,*,0.007,*,*,*,*,*,*,*,*,*,*,*,*,0.101,-0.094,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:000,Pose76,*,0.006,*,*,*,*,*,*,*,*,*,*,*,*,0.1,-0.093,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:040,Pose77,*,0.005,0.01,*,*,*,*,*,*,*,*,*,*,*,0.099,-0.092,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:080,Pose78,*,0.004,0.009,*,*,*,*,*,*,*,*,*,*,*,0.098,-0.091,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:120,Pose79,*,0.003,0.008,*,*,*,*,*,*,*,*,*,*,*,0.097,-0.09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:160,Pose80,*,0.002,0.007,*,*,*,*,*,*,*,*,*,*,*,0.096,-0.089,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:200,Pose81,*,0.001,0.006,*,*,*,*,*,*,*,*,*,*,*,0.095,-0.088,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:240,Pose82,*,0,0.005,*,*,*,*,*,*,*,*,*,*,*,0.094,-0.087,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:280,Pose83,*,*,0.004,*,*,*,*,*,*,*,*,*,*,*,0.093,-0.086,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:320,Pose84,*,*,0.003,*,*,*,*,*,*,*,*,*,*,*,0.092,-0.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:360,Pose85,*,*,0.002,*,*,*,*,*,*,*,*,*,*,*,0.091,-0.084,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:400,Pose86,*,*,0.001,*,*,*,*,*,*,*,*,*,*,*,0.09,-0.083,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:440,Pose87,*,*,0,*,*,*,*,*,*,*,*,*,*,*,0.089,-0.082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:480,Pose88,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.088,-0.081,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:520,Pose89,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.087,-0.08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:560,Pose90,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.086,-0.079,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:600,Pose91,*,*,*,*,*,0.01,*,*,*,*,*,*,*,*,0.085,-0.078,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:640,Pose92,*,*,*,*,*,0.009,*,*,*,*,*,*,*,*,0.084,-0.077,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:680,Pose93,*,*,*,*,*,0.008,*,*,*,*,*,*,*,*,0.083,-0.076,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:720,Pose94,*,*,*,*,*,0.007,*,*,*,*,*,*,*,*,0.082,-0.075,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:760,Pose95,*,*,*,*,*,0.006,*,*,*,*,*,*,*,*,0.081,-0.076,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:800,Pose96,*,*,*,*,*,0.005,*,*,*,*,*,*,*,*,0.08,-0.077,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:840,Pose97,*,*,*,*,*,0.004,*,*,*,*,*,*,*,*,0.079,-0.078,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:880,Pose98,*,*,*,*,*,0.003,*,*,*,*,*,*,*,*,0.078,-0.079,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:920,Pose99,*,*,*,*,*,0.002,*,*,*,*,*,*,*,*,0.077,-0.08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:960,Pose100,*,*,*,*,*,0.001,*,*,*,*,*,*,*,*,0.076,-0.081,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:000,Pose101,*,*,*,*,*,0,*,*,*,*,*,*,*,*,0.075,-0.082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:040,Pose102,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.076,-0.083,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:080,Pose103,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.077,-0.084,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:120,Pose104,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.078,-0.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:160,Pose105,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.079,-0.086,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:200,Pose106,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.08,-0.087,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:240,Pose107,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.081,-0.088,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:280,Pose108,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.082,-0.089,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:320,Pose109,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.083,-0.09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:360,Pose110,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.084,-0.091,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:400,Pose111,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.085,-0.092,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:440,Pose112,*,*,*,*,0.01,*,*,*,*,*,*,*,*,*,0.086,-0.093,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:480,Pose113,*,*,*,*,0.009,*,*,*,*,*,*,*,*,*,0.087,-0.094,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:520,Pose114,*,*,*,*,0.008,*,*,*,*,*,*,*,*,*,0.088,-0.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:560,Pose115,*,*,*,*,0.007,*,*,*,*,*,*,*,*,*,0.089,-0.096,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:600,Pose116,*,*,*,*,0.006,*,*,*,*,*,*,*,*,*,0.09,-0.097,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:640,Pose117,*,*,*,*,0.005,*,*,*,*,*,*,*,*,*,0.091,-0.098,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:680,Pose118,*,*,*,*,0.004,*,*,*,*,*,*,*,*,*,0.092,-0.099,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:720,Pose119,*,*,*,*,0.003,*,*,*,*,*,*,*,*,*,0.093,-0.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:760,Pose120,*,*,*,*,0.002,*,*,*,*,*,*,*,*,*,0.094,-0.101,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:800,Pose121,*,*,*,*,0.001,*,*,*,*,*,*,*,*,*,0.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:04:840,Pose122,*,*,*,*,0,*,*,*,*,*,*,*,*,*,0.096,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
